iter	Logloss
0	0.5941929827
1	0.5145791371
2	0.454835254
3	0.4123251048
4	0.3795794771
5	0.354197435
6	0.3368681886
7	0.3208834462
8	0.3083946257
9	0.2991725206
10	0.2925713567
11	0.2864774689
12	0.2815311345
13	0.2779892814
14	0.2745736616
15	0.2720953297
16	0.2703641093
17	0.2679600948
18	0.2659366329
19	0.2643105414
20	0.26313991
21	0.2620469785
22	0.2607595228
23	0.259821998
24	0.2591435596
25	0.2587250335
26	0.2581814989
27	0.2575290416
28	0.2568995727
29	0.256207513
30	0.25579683
31	0.2554762341
32	0.2551250428
33	0.254761747
34	0.2544013601
35	0.254262778
36	0.2539780757
37	0.2536671769
38	0.2533775641
39	0.2531474292
40	0.2530079692
41	0.2528167267
42	0.2526276
43	0.2524425929
44	0.2522876746
45	0.2520738984
46	0.2518903573
47	0.2517376216
48	0.2516061345
49	0.2514703626
50	0.2513345117
51	0.2512466624
52	0.2511260263
53	0.2508583315
54	0.2507508137
55	0.2505818393
56	0.2505541823
57	0.2504701118
58	0.2503496636
59	0.2502653611
60	0.2502014021
61	0.2500949904
62	0.249974641
63	0.2499053174
64	0.2498056346
65	0.2496725431
66	0.2495085786
67	0.2494013687
68	0.2493033446
69	0.2491892284
70	0.2491445495
71	0.2490891302
72	0.248988162
73	0.2488783129
74	0.2487858432
75	0.2487111821
76	0.2486737072
77	0.2485861546
78	0.2484971833
79	0.2483251801
80	0.2482684614
81	0.2482089706
82	0.2481531076
83	0.2480246999
84	0.2479346627
85	0.2478496805
86	0.2477769265
87	0.2476543734
88	0.2475911945
89	0.247531779
90	0.2474736031
91	0.2473492953
92	0.2472753162
93	0.2472015423
94	0.2471361159
95	0.2470143044
96	0.2469575353
97	0.2468924718
98	0.2468564048
99	0.246807805
100	0.2467239968
101	0.2467119383
102	0.246653353
103	0.2465815492
104	0.2465319407
105	0.2464354285
106	0.2463670516
107	0.2462681709
108	0.2462181059
109	0.2461640811
110	0.2460841291
111	0.2460493959
112	0.2459823908
113	0.2459267175
114	0.245897317
115	0.2458211756
116	0.245734169
117	0.2456626541
118	0.245568284
119	0.2454896977
120	0.2454276216
121	0.2453506107
122	0.2452971946
123	0.2452471967
124	0.2451416506
125	0.2450451263
126	0.2450362082
127	0.2449658805
128	0.2448838911
129	0.2448580023
130	0.2448431692
131	0.2447966895
132	0.2447529917
133	0.2446853943
134	0.2446273054
135	0.2445306425
136	0.2445084325
137	0.2444891204
138	0.2444381603
139	0.2443687627
140	0.2443152967
141	0.244297502
142	0.2441826207
143	0.2441059653
144	0.2440209778
145	0.2440160713
146	0.2439229856
147	0.2438395077
148	0.2437573391
149	0.2437061711
150	0.2436493611
151	0.2436182656
152	0.2435550305
153	0.2435501221
154	0.2435297889
155	0.2434811355
156	0.243418846
157	0.243365452
158	0.2433179456
159	0.2432316018
160	0.2432269017
161	0.243170683
162	0.2430962998
163	0.2430575274
164	0.2429860156
165	0.2429107171
166	0.2429066096
167	0.2429027007
168	0.2428573502
169	0.24280972
170	0.2427364458
171	0.2426528889
172	0.2426096298
173	0.2425355376
174	0.2425314639
175	0.2424523681
176	0.2423835996
177	0.242358514
178	0.242244686
179	0.2421489695
180	0.2421021878
181	0.2420142257
182	0.2419293788
183	0.2418560049
184	0.2417956989
185	0.2417431085
186	0.2417391344
187	0.2416681324
188	0.2416027206
189	0.2415466166
190	0.2414999196
191	0.2414225694
192	0.2413485419
193	0.2413425712
194	0.2412639043
195	0.2411893916
196	0.2411838568
197	0.2411263014
198	0.2411124943
199	0.2411100041
